1,1986,50,,
2,2026,50,,
3,1865,50,,
4,539,50,,
5,1022,50,,
6,2034,50,,
7,2063,50,,
8,501,50,,
9,433,50,,
10,2035,50,,
,,,3,1
1,3487,50,,
2,2026,50,,
3,958,50,,
4,638,50,,
5,1532,50,,
6,2034,50,,
7,2069,50,,
8,501,50,,
9,433,50,,
10,2035,50,,
,,,3,2
1,2137,50,,
2,2026,50,,
3,912,50,,
4,599,50,,
5,1754,50,,
6,2034,50,,
7,2329,50,,
8,501,50,,
9,433,50,,
10,2036,50,,
,,,3,3
1,3476,50,,
2,2025,50,,
3,997,50,,
4,541,50,,
5,1343,50,,
6,2034,50,,
7,2264,50,,
8,501,50,,
9,433,50,,
10,2035,50,,
,,,3,4
1,2173,50,,
2,2026,50,,
3,1032,50,,
4,618,50,,
5,2008,50,,
6,2034,50,,
7,2343,50,,
8,501,50,,
9,433,50,,
10,2036,50,,
,,,3,5
1,1998,50,,
2,2026,50,,
3,1825,50,,
4,538,50,,
5,2033,50,,
6,2034,50,,
7,2077,50,,
8,501,50,,
9,433,50,,
10,2035,50,,
,,,3,6
